trigger_name,name          ,lii     ,bii     ,trigger_type
bn170322141 ,LOCLPAR1703221,  9.1082,-29.0887,LOCLPAR     
bn140720158 ,GRB140720158  ,285.8587, 28.1863,GRB         
bn110505203 ,GRB110505203  ,270.3316,-83.7950,GRB         
bn180710062 ,GRB180710062  ,310.5625, 30.1690,GRB         
bn120429484 ,GRB120429484  ,255.3678,  7.7756,GRB         
bn120526303 ,GRB120526303  ,232.7483,-43.7758,GRB         
bn140329295 ,GRB140329295  ,262.8427, 15.5880,GRB         
bn150801492 ,LOCLPAR1508014,240.1268,-19.0168,LOCLPAR     
bn150801520 ,LOCLPAR1508015,240.1268,-19.0168,LOCLPAR     
bn170422374 ,UNRELOC1704223,240.6976,-17.5633,UNCERT      
bn170818863 ,LOCLPAR1708188,237.4243,-76.1265,LOCLPAR     
bn180705950 ,LOCLPAR1807059,286.3729, 28.5862,LOCLPAR     
bn141105358 ,GRB141105358  ,312.4828, 30.1482,GRB         
bn151107028 ,LOCLPAR1511070,274.0714, 23.7787,LOCLPAR     
bn161211422 ,UNRELOC1612114,  6.9458,-21.3965,UNCERT      
bn130112353 ,GRB130112353  ,306.3225, 30.8414,GRB         
bn150822639 ,LOCLPAR1508226,359.4195, -4.9558,LOCLPAR     
bn151109934 ,LOCLPAR1511099,260.7840, 14.0956,LOCLPAR     
bn140511964 ,TGF140511964  , 15.1920,-64.0335,TGF         
bn170827717 ,LOCLPAR1708277, 11.7818,-36.2802,LOCLPAR     
bn081206604 ,GRB081206604  , 12.5632,-72.3513,GRB         
bn120711446 ,GRB120711446  ,252.3693,  4.5496,GRB         
bn150625949 ,LOCLPAR1506259, 13.4140,-42.4655,LOCLPAR     
bn170826819 ,GRB170826819  , 14.9397,-50.6823,GRB         
bn170928090 ,LOCLPAR1709280,243.7438, -9.8192,LOCLPAR     
bn090723254 ,LOCLPAR0907232,245.0625, -7.1928,LOCLPAR     
bn100630115 ,LOCLPAR1006301,235.2419,-75.3227,LOCLPAR     
bn111010660 ,GRB111010660  ,293.7300, 30.5048,GRB         
bn120811014 ,GRB120811014  ,230.0253,-62.8779,GRB         
bn161208378 ,LOCLPAR1612083, 14.3102,-45.6516,LOCLPAR     
bn150416026 ,LOCLPAR1504160,234.8080,-32.3773,LOCLPAR     
bn090101758 ,GRB090101758  ,234.2980,-34.0557,GRB         
bn090513916 ,GRB090513916  ,359.1956, -3.8786,GRB         
bn151213843 ,TGF151213843  ,359.9533, -5.2291,TGF         
bn180413118 ,GRB180413118  ,279.4476, 26.7709,GRB         
bn170107763 ,LOCLPAR1701077,239.0277,-19.8381,LOCLPAR     
bn180718763 ,GRB180718763  ,229.6133,-62.0138,GRB         
bn160802557 ,UNCERT16080255,356.0169,  1.6734,UNCERT      
bn090811623 ,UNCERT09081162, 12.3723,-75.1796,UNCERT      
bn140623885 ,TGF140623885  ,320.3586, 29.0599,TGF         
bn170823751 ,LOCLPAR1708237, 13.1463,-74.3786,LOCLPAR     
bn170718370 ,LOCLPAR1707183,347.1232, 12.9453,LOCLPAR     
bn120710100 ,GRB120710100  ,248.2285, -0.3641,GRB         
bn110124881 ,UNCERT11012488, 11.4891,-77.1212,UNCERT      
bn091122163 ,GRB091122163  ,248.2744, -0.2717,GRB         
bn120219563 ,GRB120219563  ,  1.6935, -7.4364,GRB         
bn130611348 ,TGF130611348  ,280.8542, 27.8249,TGF         
bn170307219 ,LOCLPAR1703072,230.9535,-44.6279,LOCLPAR     
bn131015644 ,LOCLPAR1310156,324.4112, 28.0819,LOCLPAR     
bn101214993 ,GRB101214993  ,291.2416, 30.7445,GRB         
bn130715906 ,GRB130715906  ,  6.2977,-17.1667,GRB         
bn131209794 ,TGF131209794  ,356.3325,  1.8309,TGF         
